label,review
positif ,"Layar handphone ini sangat impresif dengan resolusi tinggi dan warna yang hidup, membuat pengalaman menonton video dan bermain game menjadi sangat memikat"
positif,Fitur kamera depan dengan mode potret yang disempurnakan memungkinkan pengguna untuk mengambil foto selfie yang tajam dan berkualitas tinggi
positif, Kecepatan prosesor yang tinggi pada handphone ini memungkinkan multitasking lancar dan kinerja yang responsif dalam menjalankan aplikasi-aplikasi berat
positif,"Baterai handphone ini memiliki kapasitas yang besar, sehingga pengguna dapat menggunakan perangkat ini sepanjang hari tanpa perlu sering mengisi daya"
positif,"Keamanan handphone ini sangat baik berkat pengenalan wajah dan pemindai sidik jari yang cepat, menjadikannya aman untuk menyimpan data sensitif"
positif,"Handphone ini memiliki fitur pengisian daya nirkabel yang sangat nyaman, sehingga Anda tidak perlu repot-repot dengan kabel saat mengisi daya"
positif," Suara dari speaker stereo pada handphone ini sangat jernih dan berimbang, memberikan pengalaman mendengarkan musik yang luar biasa"
positif,"Desain fisik handphone ini sangat elegan dan ramping, dengan bingkai yang sangat tipis, menjadikannya mudah untuk digenggam"
positif,"Antarmuka pengguna yang intuitif membuat navigasi dan pengaturan pada handphone ini menjadi sangat mudah, bahkan bagi pengguna yang kurang berpengalaman"
positif,"Sinyal jaringan seluler pada handphone ini sangat kuat, bahkan di area yang cenderung memiliki cakupan yang lemah, sehingga tidak ada masalah dengan panggilan terputus atau lambat"
Negatif,Handphone ini memiliki masalah serius dengan daya tahan baterai; baterainya cepat habis bahkan dengan penggunaan normal sehari-hari
Negatif,"Sinyal jaringan seluler pada handphone ini sering kali lemah dan sering mengalami pemutusan panggilan, yang membuatnya sangat tidak dapat diandalkan"
Negatif," Kamera belakang pada handphone ini menghasilkan gambar yang buram dan kualitasnya jauh di bawah ekspektasi, terutama dalam kondisi cahaya rendah"
Negatif,"Prosesor handphone ini sering kali mengalami lag dan kinerja umumnya lambat, terutama saat menjalankan aplikasi berat"
Negatif,"Desain antarmuka pengguna handphone ini sangat rumit dan tidak intuitif, membuat pengaturan dan navigasi menjadi sangat merepotkan"
positif,"HP bagus , aman tidak ada yg kurang, pengemasan lumayan lama berfungsi dg baik, ram nya gede, semoga awett Dulu beli note 11 disini jg pemakaian 3blan hilang kecopetan smoga kali ini awett aminn"
positif,Gilaakk si ini dengan harga segini dapat ram yg besar wortit bangett. Warnanya juga bagus bangeeetttt. Semoga fitur2nya berjalan dengan baik. Pengirimannya mantull cepet bangeet Terimakasih xoami dan shopee
positif,"Ini yg ke 3 kalinya beli di official Xiaomi mulai dari redmi note 9, redmi 10, dan ini yg redmi 12. Tidak mengecewakan. Packing dus plus buble wrap 🤩. Video nya kena pelanggaran karna gelap 🤣 harap maklum pakai hp jadul jadi tidak bisa di share.."
positif,"Kamera belakang tentunya sudah ada 0,5 nya dong ya,, jadi kalian tetap bisa exis dengan kamera itu,, bentuk dan tampilan menarik dan bagus,, mulus, pencahayaan dlm kamera bagus,, banyak fitur nya keren lah pokok nya"
positif,Kualitas HP bagus sesuai Pic Barang sampai dengan aman Terimakasih
positif,"Terima kasih barangnya sdh diterima dengan baik. Warnanya cantikkkkk sekali, blm dicoba jd blm tau isi hp nya. Semoga maksimal bgt semua fungsi2nya dan awet tahan lamaaa. Makasih Shopee dan Xiaomi"
positif,"Kelengkapan bawaan hp lumayan banyak untuk harga 2.2 juta. Dari rom/ ram besar, charger, casing plastik, nfc serta sertifikat ip53. Hanya pengirimannya saja lama lewat 1 hari dari tanggal perkiraan. Di terima lengkap di 73% penyetelan serta dimainkan game bertahan 6 jaman. Di charge 0% keadaan mati 2 jam 15 menit sampai 100%."
Negatif,"Barang bagus tapi di layar ada bintik biru ga tau kenapa bisa lewat Quality Control, fungsi si aman"
Negatif,"Kameranya Burik Banget,, buat VC kaya mayat Hidup🥲Niat mo upgrade dari xiaomi note 10 ke note 12 malah lebih jelek kameranya"
Negatif,"Hpnya ngelag Buka wa, kamera kadang nggak bisa harus restart. Hp kadang mati sendiri tiba-tiba nyala sendiri. Katanya bisa dikembalikan 7 hari setelah barang datang itu bohong. Harus ke servis center dulu nggak bisa pengembalian barang ditolak katanya hp bagus dan tidak lemot. Coba kamu pake wa dan lain lain untuk pengecesan normal , kamera pas awal di coba baik. Tapi kamera nya pucat nggak jernih trlalu hitam."
Negatif,"AKUN OFFICIAL TDK MENJAMIN KUALITAS HP BAGUS YGY. INI GW BELI HP DAN TERNYATA HP GK BERFUNGSI DGN BAIK, SINYAL DALAM BEBERAPA MENIT SUKA TIBA2 HILANG. TRUS JG DI APLIKASI FB BAWAANNYA ADA EMAIL DAN PASS NYANTOL BEKAS ORG LOG IN. PDHAL HP BARU PEMAKAIAN SETENGAH HARI TPI UDA BERMASALAH. TDK ADA PENYELESAIAN, MINTA RETUR HP BARU YG LAYAK PAKAI ATAU PENGEMBALIAN DANA TP MALAH DI TOLAK. MALAH DI TUJUKAN HP DISURUH DI BAWA KE SERVIS CONTER. YA MASA HP YG KATANYA SEGEL DAN BARU TPI UDA MASUK2 SERVIS. JDI SEBELUM KALIAN BELI MENDING PIKIR2 DULU DRPADA RUGI KEK GW, BELI MAHAL2 TPI HP ZONK😂"
Negatif,"Tolong bantuanya, knpa camera depanya ada baya gan garis garis. Smuah fitur ok, camera belakang ok suara ok jaringan ok. Tpi bermaslaah di camera depan. Sangat mengganggu ktika video call, dan mmbuat video atau fto. Tolong bantuanya."
Negatif,"kualitas hp sangat tidal baIk, hp masih baru tetapi sudah rusak, layar burem seperti digambar , hp mendadak mati, coba komplain ke toko sangat lama responsnya, tidak ada solusi sama sekali dan kapok beli lagi, cukup saya aja jadi korban"
Negatif,Setelah beberpa hari handphone POCO yang saya terima tidak mau hidup lagi. Handphone cuman timbul layar hitam. Sudah saya return. Sampai sekarang handphone POCO saya belum di kirim balik
